"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 11:53:53 UTC 2022","Wed Nov 30 11:53:59 UTC 2022","6379","","Tests on main page","","","","Check Switch + Save with Telnyx, Make outbound calls",""
"passed","Wed Nov 30 11:53:48 UTC 2022","Wed Nov 30 11:53:53 UTC 2022","4259","","Tests on main page","","","","Check titles on main page",""
"passed","Wed Nov 30 11:53:59 UTC 2022","Wed Nov 30 11:54:05 UTC 2022","5603","","Tests on main page","","","","Check Switch + Save with Telnyx, Receive inbound calls",""
"failed","Wed Nov 30 11:54:05 UTC 2022","Wed Nov 30 11:54:17 UTC 2022","12669","","Tests on main page","","","","Check Switch + Save with Telnyx, Toll-free numbers",""
